19:45:49 INFO  | ============================================================
19:45:49 INFO  | 📈 PAPER TRADING BOT
19:45:49 INFO  | ============================================================
19:45:49 INFO  | Coins: BTC, ETH, SOL, XRP
19:45:49 INFO  | Data: /root/bookpoly/data/raw/books
19:45:49 INFO  | 
19:45:49 INFO  | Parâmetros (docs/LOGICA_BOT.md):
19:45:49 INFO  |   Bankroll: $100
19:45:49 INFO  |   Size/trade: $5 (fixo)
19:45:49 INFO  |   Max trades/dia: 20
19:45:49 INFO  |   Max perda/dia: $25
19:45:49 INFO  |   Max posições: 3
19:45:49 INFO  |   Time Gate: 30s-240s
19:45:49 INFO  |   Spread Gate: ≤10%
19:45:49 INFO  |   Volatility Gate: ≤100%
19:45:49 INFO  |   Min Depth: $300
19:45:49 INFO  |   Forced Entry: prob≥95% + ≤2min
19:45:49 INFO  | ============================================================
19:45:49 INFO  | [BTC15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=49.5% zone=neutral score=0.56 | spread=2.0% depth=$112766 vol=28% | persist=0s remain=852s | ○ NO_ENTER
19:45:49 INFO  | [ETH15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=47.5% zone=neutral score=0.65 | spread=2.1% depth=$31351 vol=53% | persist=0s remain=852s | ○ NO_ENTER
19:45:49 INFO  | [SOL15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=45.5% zone=neutral score=0.57 | spread=2.2% depth=$25310 vol=59% | persist=0s remain=852s | ○ NO_ENTER
19:45:49 INFO  | [XRP15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=44.5% zone=neutral score=0.63 | spread=2.2% depth=$22242 vol=51% | persist=0s remain=852s | ○ NO_ENTER
19:45:50 INFO  | [BTC15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=49.5% zone=neutral score=0.56 | spread=2.0% depth=$112832 vol=28% | persist=0s remain=851s | ○ NO_ENTER
19:45:50 INFO  | [ETH15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=47.5% zone=neutral score=0.66 | spread=2.1% depth=$31394 vol=53% | persist=0s remain=851s | ○ NO_ENTER
19:45:50 INFO  | [SOL15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=45.5% zone=neutral score=0.57 | spread=2.2% depth=$25305 vol=59% | persist=0s remain=851s | ○ NO_ENTER
19:45:50 INFO  | [XRP15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=44.5% zone=neutral score=0.63 | spread=2.2% depth=$22356 vol=51% | persist=0s remain=851s | ○ NO_ENTER
19:45:51 INFO  | [BTC15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=49.5% zone=neutral score=0.56 | spread=2.0% depth=$112858 vol=28% | persist=0s remain=850s | ○ NO_ENTER
19:45:51 INFO  | [ETH15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=47.5% zone=neutral score=0.66 | spread=2.1% depth=$31273 vol=53% | persist=0s remain=850s | ○ NO_ENTER
19:45:51 INFO  | [SOL15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=45.5% zone=neutral score=0.59 | spread=2.2% depth=$25006 vol=59% | persist=0s remain=850s | ○ NO_ENTER
19:45:51 INFO  | [XRP15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=44.0% zone=neutral score=0.61 | spread=4.5% depth=$22370 vol=51% | persist=0s remain=850s | ○ NO_ENTER
19:45:52 INFO  | [BTC15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=49.5% zone=neutral score=0.56 | spread=2.0% depth=$112950 vol=28% | persist=0s remain=849s | ○ NO_ENTER
19:45:52 INFO  | [ETH15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=47.5% zone=neutral score=0.65 | spread=2.1% depth=$31391 vol=53% | persist=0s remain=849s | ○ NO_ENTER
