19:48:13 INFO  | ============================================================
19:48:13 INFO  | 📈 PAPER TRADING BOT
19:48:13 INFO  | ============================================================
19:48:13 INFO  | Coins: BTC, ETH, SOL, XRP
19:48:13 INFO  | Data: /root/bookpoly/data/raw/books
19:48:13 INFO  | 
19:48:13 INFO  | Parâmetros (docs/LOGICA_BOT.md):
19:48:13 INFO  |   Bankroll: $100
19:48:13 INFO  |   Size/trade: $5 (fixo)
19:48:13 INFO  |   Max trades/dia: 20
19:48:13 INFO  |   Max perda/dia: $25
19:48:13 INFO  |   Max posições: 3
19:48:13 INFO  |   Time Gate: 30s-240s
19:48:13 INFO  |   Spread Gate: ≤10%
19:48:13 INFO  |   Volatility Gate: ≤100%
19:48:13 INFO  |   Min Depth: $300
19:48:13 INFO  |   Forced Entry: prob≥95% + ≤2min
19:48:13 INFO  | ============================================================
19:48:13 INFO  | [BTC15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=66.5% zone=neutral score=0.43 | spread=1.5% depth=$65381 vol=43% | persist=0s remain=707s | ○ NO_ENTER
19:48:13 INFO  | [ETH15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=57.5% zone=neutral score=0.36 | spread=1.7% depth=$27559 vol=65% | persist=0s remain=707s | ○ NO_ENTER
19:48:13 INFO  | [SOL15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=71.5% zone=neutral score=0.29 | spread=1.4% depth=$21290 vol=78% | persist=0s remain=707s | ○ NO_ENTER
19:48:14 INFO  | [XRP15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=63.5% zone=neutral score=0.40 | spread=1.6% depth=$20085 vol=54% | persist=0s remain=707s | ○ NO_ENTER
19:48:14 INFO  | [BTC15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=66.5% zone=neutral score=0.43 | spread=1.5% depth=$65036 vol=43% | persist=0s remain=706s | ○ NO_ENTER
19:48:14 INFO  | [ETH15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=59.5% zone=neutral score=0.36 | spread=1.7% depth=$27407 vol=65% | persist=0s remain=705s | ○ NO_ENTER
19:48:15 INFO  | [SOL15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=72.5% zone=neutral score=0.30 | spread=1.4% depth=$21033 vol=78% | persist=0s remain=705s | ○ NO_ENTER
19:48:15 INFO  | [XRP15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=64.5% zone=neutral score=0.37 | spread=1.6% depth=$20195 vol=54% | persist=0s remain=705s | ○ NO_ENTER
19:48:15 INFO  | [BTC15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=66.5% zone=neutral score=0.42 | spread=1.5% depth=$65881 vol=43% | persist=0s remain=705s | ○ NO_ENTER
19:48:15 INFO  | [ETH15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=59.5% zone=neutral score=0.38 | spread=1.7% depth=$27382 vol=65% | persist=0s remain=704s | ○ NO_ENTER
19:48:16 INFO  | [SOL15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=72.5% zone=neutral score=0.31 | spread=1.4% depth=$21052 vol=78% | persist=0s remain=704s | ○ NO_ENTER
19:48:16 INFO  | [XRP15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=63.5% zone=neutral score=0.39 | spread=1.6% depth=$20232 vol=54% | persist=0s remain=704s | ○ NO_ENTER
19:48:16 INFO  | [BTC15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=66.5% zone=neutral score=0.44 | spread=1.5% depth=$66194 vol=43% | persist=0s remain=704s | ○ NO_ENTER
19:48:16 INFO  | [ETH15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=59.5% zone=neutral score=0.35 | spread=1.7% depth=$27633 vol=65% | persist=0s remain=703s | ○ NO_ENTER
19:48:17 INFO  | [SOL15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=72.5% zone=neutral score=0.32 | spread=1.4% depth=$21100 vol=78% | persist=0s remain=703s | ○ NO_ENTER
19:48:17 INFO  | [XRP15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=63.5% zone=neutral score=0.39 | spread=1.6% depth=$20304 vol=54% | persist=0s remain=703s | ○ NO_ENTER
