19:50:53 INFO  | ============================================================
19:50:53 INFO  | 📈 PAPER TRADING BOT
19:50:53 INFO  | ============================================================
19:50:53 INFO  | Coins: BTC, ETH, SOL, XRP
19:50:53 INFO  | Data: /root/bookpoly/data/raw/books
19:50:53 INFO  | 
19:50:53 INFO  | Parâmetros (docs/LOGICA_BOT.md):
19:50:53 INFO  |   Bankroll: $100
19:50:53 INFO  |   Size/trade: $5 (fixo)
19:50:53 INFO  |   Max trades/dia: 20
19:50:53 INFO  |   Max perda/dia: $25
19:50:53 INFO  |   Max posições: 3
19:50:53 INFO  |   Time Gate: 30s-240s
19:50:53 INFO  |   Spread Gate: ≤10%
19:50:53 INFO  |   Volatility Gate: ≤100%
19:50:53 INFO  |   Min Depth: $300
19:50:53 INFO  |   Forced Entry: prob≥95% + ≤2min
19:50:53 INFO  | ============================================================
19:50:59 INFO  | [ETH15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=51.5% zone=neutral score=0.37 | spread=1.9% depth=$25962 vol=55% | persist=0s remain=542s | ○ NO_ENTER
19:50:59 INFO  | [SOL15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=63.5% zone=neutral score=0.40 | spread=1.6% depth=$14043 vol=71% | persist=0s remain=542s | ○ NO_ENTER
19:50:59 INFO  | [XRP15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=61.5% zone=neutral score=0.36 | spread=1.6% depth=$11102 vol=51% | persist=0s remain=542s | ○ NO_ENTER
19:51:00 INFO  | [BTC15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=69.5% zone=neutral score=0.45 | spread=1.4% depth=$75503 vol=42% | persist=0s remain=541s | ○ NO_ENTER
19:51:00 INFO  | [ETH15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=52.5% zone=neutral score=0.35 | spread=1.9% depth=$23878 vol=55% | persist=0s remain=541s | ○ NO_ENTER
19:51:00 INFO  | [SOL15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=63.5% zone=neutral score=0.38 | spread=1.6% depth=$13630 vol=71% | persist=0s remain=541s | ○ NO_ENTER
19:51:00 INFO  | [XRP15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=65.5% zone=neutral score=0.38 | spread=1.5% depth=$10739 vol=51% | persist=0s remain=541s | ○ NO_ENTER
19:51:01 INFO  | [BTC15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=70.5% zone=neutral score=0.43 | spread=1.4% depth=$76289 vol=42% | persist=0s remain=540s | ○ NO_ENTER
19:51:01 INFO  | [ETH15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=53.5% zone=neutral score=0.40 | spread=1.9% depth=$24381 vol=55% | persist=0s remain=540s | ○ NO_ENTER
19:51:01 INFO  | [SOL15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=65.5% zone=neutral score=0.35 | spread=1.5% depth=$13438 vol=71% | persist=0s remain=540s | ○ NO_ENTER
