19:36:15 INFO  | ============================================================
19:36:15 INFO  | 📈 PAPER TRADING BOT
19:36:15 INFO  | ============================================================
19:36:15 INFO  | Coins: BTC, ETH, SOL, XRP
19:36:15 INFO  | Data: /root/bookpoly/data/raw/books
19:36:15 INFO  | 
19:36:15 INFO  | Parâmetros (docs/LOGICA_BOT.md):
19:36:15 INFO  |   Bankroll: $100
19:36:15 INFO  |   Size/trade: $5 (fixo)
19:36:15 INFO  |   Max trades/dia: 20
19:36:15 INFO  |   Max perda/dia: $25
19:36:15 INFO  |   Max posições: 3
19:36:15 INFO  |   Time Gate: 30s-240s
19:36:15 INFO  |   Spread Gate: ≤10%
19:36:15 INFO  |   Volatility Gate: ≤100%
19:36:15 INFO  |   Min Depth: $300
19:36:15 INFO  |   Forced Entry: prob≥95% + ≤2min
19:36:15 INFO  | ============================================================
19:36:15 INFO  | [BTC15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=41.5% zone=neutral score=0.65 | spread=2.4% depth=$53889 vol=16% | persist=0s remain=526s | ○ NO_ENTER
19:36:15 INFO  | [ETH15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=21.5% zone=neutral score=0.53 | spread=4.7% depth=$24393 vol=64% | persist=0s remain=526s | ○ NO_ENTER
19:36:15 INFO  | [SOL15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=21.5% zone=neutral score=0.52 | spread=4.7% depth=$11929 vol=70% | persist=0s remain=526s | ○ NO_ENTER
19:36:15 INFO  | [XRP15m] [T:✗L:✓S:✗V:✓N:✓] ALL:✗ | prob=6.5% zone=safe score=0.55 | spread=15.4% depth=$9559 vol=50% | persist=0s remain=526s | ○ NO_ENTER
19:36:16 INFO  | [BTC15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=42.5% zone=neutral score=0.67 | spread=2.4% depth=$60056 vol=16% | persist=0s remain=525s | ○ NO_ENTER
19:36:16 INFO  | [ETH15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=22.5% zone=neutral score=0.52 | spread=4.4% depth=$24801 vol=64% | persist=0s remain=525s | ○ NO_ENTER
19:36:16 INFO  | [SOL15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=21.5% zone=neutral score=0.51 | spread=4.7% depth=$12150 vol=70% | persist=0s remain=525s | ○ NO_ENTER
19:36:16 INFO  | [XRP15m] [T:✗L:✓S:✗V:✓N:✓] ALL:✗ | prob=6.5% zone=safe score=0.53 | spread=15.4% depth=$9389 vol=50% | persist=0s remain=525s | ○ NO_ENTER
19:36:17 INFO  | [BTC15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=44.5% zone=neutral score=0.57 | spread=2.2% depth=$67230 vol=16% | persist=0s remain=524s | ○ NO_ENTER
19:36:17 INFO  | [ETH15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=26.5% zone=neutral score=0.57 | spread=3.8% depth=$24620 vol=64% | persist=0s remain=524s | ○ NO_ENTER
19:36:17 INFO  | [SOL15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=23.5% zone=neutral score=0.48 | spread=4.3% depth=$11520 vol=70% | persist=0s remain=524s | ○ NO_ENTER
