window_start,market,entry_ts,side,prob_at_entry,prob_favorite,entry_price,remaining_s,spread,spread_pct,bid_depth,ask_depth,total_depth,imbalance,latency_ms,outcome,won,pnl
2026-02-05T07:15:00,BTC15m,2026-02-05T07:26:05.962000,UP,0.9550,0.9550,0.9550,234.0,0.0100,1.05,38177,29632,67809,0.1260,222,UP,YES,+0.0450
2026-02-05T07:30:00,BTC15m,2026-02-05T07:41:00.610000,DOWN,0.0250,0.9750,0.9750,239.4,0.0100,1.03,17753,27834,45587,-0.2211,235,DOWN,YES,+0.0250
2026-02-05T07:45:00,BTC15m,2026-02-05T07:56:00.578000,DOWN,0.0050,0.9950,0.9950,239.4,0.0040,0.40,21974,38239,60213,-0.2701,180,DOWN,YES,+0.0050
2026-02-05T08:00:00,BTC15m,2026-02-05T08:14:06.842000,DOWN,0.0450,0.9550,0.9550,53.2,0.0100,1.05,20411,22813,43224,-0.0556,185,DOWN,YES,+0.0450
2026-02-05T08:15:00,BTC15m,2026-02-05T08:26:00.367000,DOWN,0.0250,0.9750,0.9750,239.6,0.0100,1.03,22966,70538,93504,-0.5088,190,DOWN,YES,+0.0250
2026-02-05T08:30:00,BTC15m,2026-02-05T08:41:00.979000,UP,0.9600,0.9600,0.9600,239.0,0.0200,2.08,102587,23573,126160,0.6263,244,UP,YES,+0.0400
2026-02-05T08:45:00,BTC15m,2026-02-05T08:56:31.149000,DOWN,0.0450,0.9550,0.9550,208.9,0.0100,1.05,22404,48808,71212,-0.3708,181,DOWN,YES,+0.0450
2026-02-05T09:00:00,BTC15m,2026-02-05T09:11:49.115000,DOWN,0.0450,0.9550,0.9550,190.9,0.0100,1.05,22242,37644,59886,-0.2572,213,DOWN,YES,+0.0450
2026-02-05T09:15:00,BTC15m,2026-02-05T09:26:00.347000,DOWN,0.0150,0.9850,0.9850,239.7,0.0100,1.02,16255,80327,96582,-0.6634,186,DOWN,YES,+0.0150
2026-02-05T09:30:00,BTC15m,2026-02-05T09:42:39.316000,DOWN,0.0450,0.9550,0.9550,140.7,0.0100,1.05,24616,44681,69298,-0.2895,190,DOWN,YES,+0.0450
2026-02-05T09:45:00,BTC15m,2026-02-05T09:57:09.863000,UP,0.9550,0.9550,0.9550,170.1,0.0100,1.05,45936,26098,72034,0.2754,187,UP,YES,+0.0450
2026-02-05T10:15:00,BTC15m,2026-02-05T10:27:11.801000,DOWN,0.0450,0.9550,0.9550,168.2,0.0100,1.05,27031,48048,75078,-0.2799,187,DOWN,YES,+0.0450
2026-02-05T10:30:00,BTC15m,2026-02-05T10:43:40.774000,UP,0.9550,0.9550,0.9550,79.2,0.0100,1.05,45261,24142,69403,0.3043,188,UP,YES,+0.0450
2026-02-05T10:45:00,BTC15m,2026-02-05T10:56:00.364000,UP,0.9750,0.9750,0.9750,239.6,0.0100,1.03,42426,18677,61103,0.3887,190,UP,YES,+0.0250
2026-02-05T11:00:00,BTC15m,2026-02-05T11:12:11.767000,UP,0.9550,0.9550,0.9550,168.2,0.0100,1.05,46676,24719,71396,0.3075,155,UP,YES,+0.0450
2026-02-05T11:15:00,BTC15m,2026-02-05T11:26:00.714000,UP,0.9650,0.9650,0.9650,239.3,0.0100,1.04,51278,28684,79962,0.2826,251,UP,YES,+0.0350
2026-02-05T11:30:00,BTC15m,2026-02-05T11:41:06.698000,UP,0.9550,0.9550,0.9550,233.3,0.0100,1.05,53344,27858,81202,0.3139,194,UP,YES,+0.0450
2026-02-05T11:45:00,BTC15m,2026-02-05T11:56:00.204000,DOWN,0.0065,0.9935,0.9935,239.8,0.0070,0.70,6295,41638,47933,-0.7374,199,DOWN,YES,+0.0065
2026-02-05T12:00:00,BTC15m,2026-02-05T12:11:00.950000,DOWN,0.0210,0.9790,0.9790,239.0,0.0020,0.20,15695,55506,71201,-0.5591,261,DOWN,YES,+0.0210
2026-02-05T12:15:00,BTC15m,2026-02-05T12:26:19.275000,DOWN,0.0450,0.9550,0.9550,220.7,0.0100,1.05,29580,46615,76194,-0.2236,182,DOWN,YES,+0.0450
2026-02-05T12:30:00,BTC15m,2026-02-05T12:41:00.393000,UP,0.9750,0.9750,0.9750,239.6,0.0100,1.03,68583,20686,89270,0.5365,188,UP,YES,+0.0250
2026-02-05T13:00:00,BTC15m,2026-02-05T13:12:41.543000,DOWN,0.0450,0.9550,0.9550,138.5,0.0100,1.05,28251,70160,98411,-0.4259,186,DOWN,YES,+0.0450
2026-02-05T13:15:00,BTC15m,2026-02-05T13:26:00.775000,UP,0.9960,0.9960,0.9960,239.2,0.0020,0.20,40932,7249,48181,0.6991,175,UP,YES,+0.0040
2026-02-05T13:30:00,BTC15m,2026-02-05T13:42:05.066000,DOWN,0.0450,0.9550,0.9550,174.9,0.0100,1.05,31660,69046,100706,-0.3712,203,DOWN,YES,+0.0450
2026-02-05T13:45:00,BTC15m,2026-02-05T13:56:00.099000,UP,0.9900,0.9900,0.9900,239.9,0.0000,0.00,65558,0,65558,1.0000,258,UP,YES,+0.0100
2026-02-05T14:00:00,BTC15m,2026-02-05T14:11:00.600000,DOWN,0.0090,0.9910,0.9910,239.4,0.0020,0.20,5255,31079,36334,-0.7107,232,DOWN,YES,+0.0090
2026-02-05T14:30:00,BTC15m,2026-02-05T14:42:19.122000,DOWN,0.0450,0.9550,0.9550,160.9,0.0100,1.05,32013,66007,98019,-0.3468,210,DOWN,YES,+0.0450
2026-02-05T14:45:00,BTC15m,2026-02-05T14:56:00.529000,DOWN,0.0150,0.9850,0.9850,239.5,0.0100,1.02,9013,49265,58278,-0.6907,170,DOWN,YES,+0.0150
2026-02-05T15:00:00,BTC15m,2026-02-05T15:12:44.960000,UP,0.9550,0.9550,0.9550,135.0,0.0100,1.05,70492,27332,97824,0.4412,254,UP,YES,+0.0450
2026-02-05T15:15:00,BTC15m,2026-02-05T15:26:00.127000,DOWN,0.0150,0.9850,0.9850,239.9,0.0080,0.81,17583,30697,48280,-0.2716,192,DOWN,YES,+0.0150
2026-02-05T15:45:00,BTC15m,2026-02-05T15:56:47.058000,UP,0.9550,0.9550,0.9550,192.9,0.0100,1.05,62856,25368,88224,0.4249,182,UP,YES,+0.0450
