window_start,market,side,entry_price,original_outcome,original_won,original_pnl,exit_triggered,exit_action,exit_reason,exit_price,defense_pnl,defense_saved,flip_triggered,flip_side,flip_pnl
2026-02-05T08:30:00,BTC15m,UP,0.9600,UP,YES,+0.0400,NO,,,,,,NO,,
2026-02-05T08:45:00,BTC15m,DOWN,0.9550,DOWN,YES,+0.0450,NO,,,,,,NO,,
2026-02-05T09:00:00,BTC15m,DOWN,0.9550,DOWN,YES,+0.0450,NO,,,,,,NO,,
2026-02-05T09:15:00,BTC15m,DOWN,0.9850,DOWN,YES,+0.0150,NO,,,,,,NO,,
2026-02-05T09:30:00,BTC15m,DOWN,0.9550,DOWN,YES,+0.0450,NO,,,,,,NO,,
2026-02-05T09:45:00,BTC15m,UP,0.9550,UP,YES,+0.0450,NO,,,,,,NO,,
2026-02-05T10:15:00,BTC15m,DOWN,0.9550,DOWN,YES,+0.0450,NO,,,,,,NO,,
2026-02-05T10:30:00,BTC15m,UP,0.9550,UP,YES,+0.0450,NO,,,,,,NO,,
2026-02-05T10:45:00,BTC15m,UP,0.9750,UP,YES,+0.0250,YES,EXIT_EMERGENCY,multi_signal(2):imbalance_flip:-0.600+prob_dropping:89%,0.8940,-0.0810,,NO,,
2026-02-05T11:00:00,BTC15m,UP,0.9550,UP,YES,+0.0450,YES,EXIT_TIME,time_exit:remaining=27s_prob=85%,0.8500,-0.1050,,NO,,
2026-02-05T11:15:00,BTC15m,UP,0.9650,UP,YES,+0.0350,NO,,,,,,NO,,
2026-02-05T11:30:00,BTC15m,UP,0.9550,UP,YES,+0.0450,NO,,,,,,NO,,
2026-02-05T11:45:00,BTC15m,DOWN,0.9935,DOWN,YES,+0.0065,NO,,,,,,NO,,
2026-02-05T12:00:00,BTC15m,DOWN,0.9790,DOWN,YES,+0.0210,NO,,,,,,NO,,
2026-02-05T12:15:00,BTC15m,DOWN,0.9550,DOWN,YES,+0.0450,NO,,,,,,NO,,
2026-02-05T12:30:00,BTC15m,UP,0.9750,UP,YES,+0.0250,NO,,,,,,NO,,
2026-02-05T13:00:00,BTC15m,DOWN,0.9550,DOWN,YES,+0.0450,NO,,,,,,NO,,
2026-02-05T13:15:00,BTC15m,UP,0.9960,UP,YES,+0.0040,NO,,,,,,NO,,
2026-02-05T13:30:00,BTC15m,DOWN,0.9550,DOWN,YES,+0.0450,NO,,,,,,NO,,
2026-02-05T13:45:00,BTC15m,UP,0.9900,UP,YES,+0.0100,NO,,,,,,NO,,
2026-02-05T14:00:00,BTC15m,DOWN,0.9910,DOWN,YES,+0.0090,NO,,,,,,NO,,
2026-02-05T14:30:00,BTC15m,DOWN,0.9550,DOWN,YES,+0.0450,NO,,,,,,NO,,
2026-02-05T14:45:00,BTC15m,DOWN,0.9850,DOWN,YES,+0.0150,NO,,,,,,NO,,
2026-02-05T15:00:00,BTC15m,UP,0.9550,UP,YES,+0.0450,NO,,,,,,NO,,
2026-02-05T15:15:00,BTC15m,DOWN,0.9850,DOWN,YES,+0.0150,NO,,,,,,NO,,
2026-02-05T15:45:00,BTC15m,UP,0.9550,UP,YES,+0.0450,NO,,,,,,NO,,
2026-02-05T16:15:00,BTC15m,DOWN,0.9850,DOWN,YES,+0.0150,NO,,,,,,NO,,
2026-02-05T16:45:00,BTC15m,DOWN,0.9650,DOWN,YES,+0.0350,NO,,,,,,NO,,
2026-02-05T17:00:00,BTC15m,DOWN,0.9500,DOWN,YES,+0.0500,NO,,,,,,NO,,
2026-02-05T17:15:00,BTC15m,DOWN,0.9960,DOWN,YES,+0.0040,NO,,,,,,NO,,
2026-02-05T17:30:00,BTC15m,DOWN,0.9550,DOWN,YES,+0.0450,NO,,,,,,NO,,
2026-02-05T17:45:00,BTC15m,DOWN,0.9650,UP,NO,-0.9650,YES,EXIT_EMERGENCY,multi_signal(2):imbalance_flip:+0.477+prob_dropping:82%,0.8235,-0.1415,+0.8235,NO,,
2026-02-05T18:00:00,BTC15m,DOWN,0.9650,DOWN,YES,+0.0350,NO,,,,,,NO,,
2026-02-05T18:15:00,BTC15m,UP,0.9550,UP,YES,+0.0450,NO,,,,,,NO,,
2026-02-05T18:30:00,BTC15m,DOWN,0.9550,DOWN,YES,+0.0450,NO,,,,,,NO,,
