timestamp,datetime,market,side,entry_price,prob,remaining_s,score,confidence,result,won,pnl
00:12:48,Feb 08 00:12:48,XRP15m,DOWN,0.0400,96.0%,133,0.44,unknown,UNKNOWN,UNKNOWN,UNKNOWN
00:12:49,Feb 08 00:12:49,XRP15m,DOWN,0.0300,97.0%,132,0.44,unknown,UNKNOWN,UNKNOWN,UNKNOWN
00:12:50,Feb 08 00:12:50,XRP15m,DOWN,0.0300,97.0%,131,0.43,unknown,UNKNOWN,UNKNOWN,UNKNOWN
00:12:51,Feb 08 00:12:51,XRP15m,DOWN,0.0300,97.0%,130,0.44,unknown,UNKNOWN,UNKNOWN,UNKNOWN
00:12:52,Feb 08 00:12:52,XRP15m,DOWN,0.0300,97.0%,129,0.46,unknown,UNKNOWN,UNKNOWN,UNKNOWN
00:12:53,Feb 08 00:12:53,XRP15m,DOWN,0.0300,97.0%,128,0.45,unknown,UNKNOWN,UNKNOWN,UNKNOWN
00:12:54,Feb 08 00:12:54,XRP15m,DOWN,0.0300,97.0%,127,0.45,unknown,UNKNOWN,UNKNOWN,UNKNOWN
00:12:55,Feb 08 00:12:55,XRP15m,DOWN,0.0300,97.0%,126,0.45,unknown,UNKNOWN,UNKNOWN,UNKNOWN
00:12:56,Feb 08 00:12:56,XRP15m,DOWN,0.0300,97.0%,125,0.45,unknown,UNKNOWN,UNKNOWN,UNKNOWN
00:12:59,Feb 08 00:12:59,XRP15m,DOWN,0.0250,97.5%,122,0.46,unknown,UNKNOWN,UNKNOWN,UNKNOWN
00:13:00,Feb 08 00:13:00,XRP15m,DOWN,0.0250,97.5%,121,0.48,unknown,UNKNOWN,UNKNOWN,UNKNOWN
00:13:01,Feb 08 00:13:01,XRP15m,DOWN,0.0250,97.5%,120,0.48,unknown,UNKNOWN,UNKNOWN,UNKNOWN
00:13:02,Feb 08 00:13:02,XRP15m,DOWN,0.0250,97.5%,119,0.48,unknown,UNKNOWN,UNKNOWN,UNKNOWN
00:13:03,Feb 08 00:13:03,XRP15m,DOWN,0.0350,96.5%,118,0.51,unknown,UNKNOWN,UNKNOWN,UNKNOWN
00:13:04,Feb 08 00:13:04,XRP15m,DOWN,0.0350,96.5%,117,0.51,unknown,UNKNOWN,UNKNOWN,UNKNOWN
00:13:05,Feb 08 00:13:05,XRP15m,DOWN,0.0350,96.5%,116,0.49,unknown,UNKNOWN,UNKNOWN,UNKNOWN
00:13:06,Feb 08 00:13:06,XRP15m,DOWN,0.0400,96.0%,115,0.45,unknown,UNKNOWN,UNKNOWN,UNKNOWN
00:13:07,Feb 08 00:13:07,XRP15m,DOWN,0.0350,96.5%,114,0.49,unknown,UNKNOWN,UNKNOWN,UNKNOWN
00:13:08,Feb 08 00:13:08,XRP15m,DOWN,0.0350,96.5%,113,0.49,unknown,UNKNOWN,UNKNOWN,UNKNOWN
00:13:09,Feb 08 00:13:09,XRP15m,DOWN,0.0350,96.5%,112,0.49,unknown,UNKNOWN,UNKNOWN,UNKNOWN
00:13:10,Feb 08 00:13:10,XRP15m,DOWN,0.0500,95.0%,111,0.41,unknown,UNKNOWN,UNKNOWN,UNKNOWN
00:13:11,Feb 08 00:13:11,XRP15m,DOWN,0.0350,96.5%,110,0.49,unknown,UNKNOWN,UNKNOWN,UNKNOWN
00:13:12,Feb 08 00:13:12,XRP15m,DOWN,0.0350,96.5%,109,0.49,unknown,UNKNOWN,UNKNOWN,UNKNOWN
00:13:13,Feb 08 00:13:13,XRP15m,DOWN,0.0250,97.5%,108,0.49,unknown,UNKNOWN,UNKNOWN,UNKNOWN
00:13:14,Feb 08 00:13:14,XRP15m,DOWN,0.0250,97.5%,107,0.49,unknown,UNKNOWN,UNKNOWN,UNKNOWN
00:13:15,Feb 08 00:13:15,XRP15m,DOWN,0.0250,97.5%,106,0.49,unknown,UNKNOWN,UNKNOWN,UNKNOWN
00:13:16,Feb 08 00:13:16,XRP15m,DOWN,0.0250,97.5%,105,0.51,unknown,UNKNOWN,UNKNOWN,UNKNOWN
00:13:17,Feb 08 00:13:17,XRP15m,DOWN,0.0250,97.5%,104,0.51,unknown,UNKNOWN,UNKNOWN,UNKNOWN
00:13:21,Feb 08 00:13:21,BTC15m,DOWN,0.0250,97.5%,100,0.67,unknown,UP,NO,-5.00
00:13:22,Feb 08 00:13:22,BTC15m,DOWN,0.0250,97.5%,99,0.72,unknown,UP,NO,-5.00
00:13:22,Feb 08 00:13:22,ETH15m,DOWN,0.0450,95.5%,99,0.61,unknown,UP,NO,-5.00
